DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,CPI,UNRATE,Cons_Materials,FEDFUNDS,Income
2001-07-01,113.491,2001.0,7.0,49774.0,143.4,4.6,1582.0,3.77,10370.7
2001-08-01,114.167,2001.0,8.0,49777.0,143.3,4.9,1615.0,3.65,10543.1
2001-09-01,114.812,2001.0,9.0,49780.0,143.0,5.0,1551.0,3.07,10452.8
2001-10-01,115.31,2001.0,10.0,49783.0,142.3,5.3,1599.0,2.49,10267.7
2001-11-01,115.857,2001.0,11.0,49885.666666666664,142.1,5.5,1555.0,2.09,10279.7
2001-12-01,116.455,2001.0,12.0,49988.333333333336,141.7,5.7,1693.0,1.82,10298.9
2002-01-01,117.144,2002.0,1.0,50091.0,142.0,5.7,1632.0,1.73,10514.7
2002-02-01,117.845,2002.0,2.0,50156.0,142.2,5.7,1671.0,1.74,10531.6
2002-03-01,118.687,2002.0,3.0,50221.0,143.2,5.7,1559.0,1.73,10539.0
2002-04-01,119.611,2002.0,4.0,50286.0,143.5,5.9,1625.0,1.75,10574.2
2002-05-01,120.724,2002.0,5.0,50311.333333333336,143.8,5.8,1705.0,1.75,10616.5
2002-06-01,121.813,2002.0,6.0,50336.666666666664,144.3,5.8,1589.0,1.75,10648.2
2002-07-01,122.888,2002.0,7.0,50362.0,144.7,5.8,1615.0,1.73,10621.0
2002-08-01,123.83,2002.0,8.0,50342.0,145.1,5.7,1722.0,1.74,10623.0
2002-09-01,124.78,2002.0,9.0,50322.0,145.4,5.7,1641.0,1.75,10633.6
2002-10-01,125.735,2002.0,10.0,50302.0,145.0,5.7,1601.0,1.75,10661.8
2002-11-01,126.67,2002.0,11.0,50355.333333333336,144.6,5.9,1718.0,1.34,10690.9
2002-12-01,127.624,2002.0,12.0,50408.666666666664,144.3,6.0,1671.0,1.24,10719.9
2003-01-01,128.461,2003.0,1.0,50462.0,144.4,5.8,1654.0,1.24,10710.4
2003-02-01,129.355,2003.0,2.0,50573.333333333336,145.2,5.9,1688.0,1.26,10674.0
2003-03-01,130.148,2003.0,3.0,50684.666666666664,145.2,5.9,1638.0,1.25,10696.5
2003-04-01,130.884,2003.0,4.0,50796.0,145.9,6.0,1662.0,1.26,10752.7
2003-05-01,131.735,2003.0,5.0,51034.666666666664,145.8,6.1,1733.0,1.26,10832.0
2003-06-01,132.649,2003.0,6.0,51273.333333333336,146.1,6.3,1641.0,1.22,10860.6
2003-07-01,133.77700000000002,2003.0,7.0,51512.0,147.0,6.2,1680.0,1.01,10991.1
2003-08-01,134.969,2003.0,8.0,51670.0,147.2,6.1,1570.0,1.03,11066.7
2003-09-01,136.29399999999998,2003.0,9.0,51828.0,149.0,6.1,1719.0,1.01,10940.8
2003-10-01,137.531,2003.0,10.0,51986.0,149.6,6.0,1728.0,1.01,10982.3
2003-11-01,138.79399999999998,2003.0,11.0,52050.333333333336,150.2,5.8,1692.0,1.0,11048.4
2003-12-01,140.179,2003.0,12.0,52114.666666666664,149.7,5.7,1716.0,0.98,11057.2
2004-01-01,141.64600000000002,2004.0,1.0,52179.0,150.0,5.7,1709.0,1.0,11051.2
2004-02-01,143.192,2004.0,2.0,52275.666666666664,153.4,5.6,1718.0,1.01,11071.0
2004-03-01,145.059,2004.0,3.0,52372.333333333336,156.5,5.8,1794.0,1.0,11115.6
2004-04-01,146.593,2004.0,4.0,52469.0,160.1,5.6,1938.0,1.0,11153.3
2004-05-01,148.186,2004.0,5.0,52591.0,162.7,5.6,1893.0,1.0,11208.9
2004-06-01,149.85,2004.0,6.0,52713.0,162.0,5.6,1857.0,1.03,11215.8
2004-07-01,151.338,2004.0,7.0,52835.0,162.2,5.5,1881.0,1.26,11240.5
2004-08-01,152.63299999999998,2004.0,8.0,52970.666666666664,165.9,5.4,1911.0,1.43,11274.6
2004-09-01,154.179,2004.0,9.0,53106.333333333336,167.2,5.4,1796.0,1.61,11279.6
2004-10-01,155.75,2004.0,10.0,53242.0,165.9,5.5,1839.0,1.76,11282.5
2004-11-01,157.52700000000002,2004.0,11.0,53401.0,165.5,5.4,1758.0,1.93,11246.1
2004-12-01,159.33,2004.0,12.0,53560.0,166.3,5.4,1921.0,2.16,11659.0
2005-01-01,161.28799999999998,2005.0,1.0,53719.0,168.6,5.3,1892.0,2.28,11226.5
2005-02-01,163.344,2005.0,2.0,53768.666666666664,170.4,5.4,1908.0,2.5,11229.0
2005-03-01,165.812,2005.0,3.0,53818.333333333336,170.0,5.2,1787.0,2.63,11268.8
2005-04-01,167.50099999999998,2005.0,4.0,53868.0,170.0,5.2,1927.0,2.79,11304.2
2005-05-01,169.351,2005.0,5.0,53963.0,168.1,5.1,2103.0,3.0,11352.7
2005-06-01,171.19,2005.0,6.0,54058.0,167.8,5.0,1965.0,3.04,11375.5
2005-07-01,172.86,2005.0,7.0,54153.0,167.2,5.0,1886.0,3.26,11387.1
2005-08-01,174.442,2005.0,8.0,54207.666666666664,165.9,4.9,1952.0,3.5,11405.3
2005-09-01,176.438,2005.0,9.0,54262.333333333336,168.9,5.0,1922.0,3.62,11365.2
2005-10-01,178.028,2005.0,10.0,54317.0,171.6,5.0,1962.0,3.78,11428.7
2005-11-01,179.68,2005.0,11.0,54520.333333333336,172.7,5.0,1907.0,4.0,11500.1
2005-12-01,180.91,2005.0,12.0,54723.666666666664,173.5,4.9,1941.0,4.16,11535.2
2006-01-01,182.321,2006.0,1.0,54927.0,177.2,4.7,2036.0,4.29,11651.8
2006-02-01,183.287,2006.0,2.0,54933.0,177.7,4.8,2048.0,4.49,11702.8
2006-03-01,184.364,2006.0,3.0,54939.0,178.3,4.7,2245.0,4.59,11747.5
2006-04-01,184.329,2006.0,4.0,54945.0,179.0,4.7,2071.0,4.79,11744.4
2006-05-01,184.156,2006.0,5.0,54925.333333333336,179.9,4.6,1897.0,4.94,11736.8
2006-06-01,183.507,2006.0,6.0,54905.666666666664,180.7,4.6,2050.0,4.99,11751.9
2006-07-01,183.068,2006.0,7.0,54886.0,182.3,4.7,1934.0,5.24,11746.9
2006-08-01,182.594,2006.0,8.0,54996.0,182.6,4.7,1877.0,5.25,11737.0
2006-09-01,182.798,2006.0,9.0,55106.0,183.3,4.5,2011.0,5.25,11800.1
2006-10-01,183.198,2006.0,10.0,55216.0,182.3,4.4,1918.0,5.25,11853.7
2006-11-01,183.609,2006.0,11.0,55230.666666666664,179.8,4.5,1893.0,5.25,11901.9
2006-12-01,184.139,2006.0,12.0,55245.333333333336,179.8,4.4,1888.0,5.24,11958.6
2007-01-01,184.517,2007.0,1.0,55260.0,181.1,4.6,1822.0,5.25,11956.6
2007-02-01,184.598,2007.0,2.0,55331.333333333336,181.5,4.5,1640.0,5.26,11996.0
2007-03-01,184.15,2007.0,3.0,55402.666666666664,182.5,4.4,1623.0,5.26,12035.1
2007-04-01,183.01,2007.0,4.0,55474.0,183.7,4.5,1539.0,5.25,12052.8
2007-05-01,181.6,2007.0,5.0,55532.333333333336,184.0,4.4,1536.0,5.25,12059.9
2007-06-01,180.254,2007.0,6.0,55590.666666666664,184.0,4.6,1481.0,5.25,12053.3
2007-07-01,179.111,2007.0,7.0,55649.0,184.2,4.7,1534.0,5.26,12066.4
2007-08-01,178.116,2007.0,8.0,55718.333333333336,183.9,4.6,1512.0,5.02,12070.9
2007-09-01,177.558,2007.0,9.0,55787.666666666664,183.4,4.7,1356.0,4.94,12089.6
2007-10-01,176.62400000000002,2007.0,10.0,55857.0,183.0,4.7,1405.0,4.76,12080.4
2007-11-01,175.14700000000002,2007.0,11.0,55737.0,183.3,4.7,1390.0,4.49,12070.1
2007-12-01,174.342,2007.0,12.0,55617.0,183.5,5.0,1328.0,4.24,12120.5
2008-01-01,173.132,2008.0,1.0,55497.0,184.3,5.0,1331.0,3.94,12137.1
2008-02-01,171.541,2008.0,2.0,55566.333333333336,185.7,4.9,1274.0,2.98,12141.8
2008-03-01,170.053,2008.0,3.0,55635.666666666664,187.8,5.1,1195.0,2.61,12145.9
2008-04-01,168.338,2008.0,4.0,55705.0,190.9,5.0,1022.0,2.28,12100.8
2008-05-01,166.65900000000002,2008.0,5.0,55562.666666666664,195.8,5.4,1142.0,1.98,12696.2
2008-06-01,165.017,2008.0,6.0,55420.333333333336,200.4,5.6,1142.0,2.0,12376.6
2008-07-01,163.566,2008.0,7.0,55278.0,203.4,5.8,1087.0,2.01,12188.7
2008-08-01,161.987,2008.0,8.0,54832.333333333336,206.5,6.1,1017.0,2.0,12120.6
2008-09-01,160.308,2008.0,9.0,54386.666666666664,206.3,6.1,1160.0,1.81,12149.0
2008-10-01,158.327,2008.0,10.0,53941.0,201.8,6.5,1055.0,0.97,12240.5
2008-11-01,156.142,2008.0,11.0,53701.0,199.6,6.8,1076.0,0.39,12345.9
2008-12-01,153.619,2008.0,12.0,53461.0,194.8,7.3,1021.0,0.16,12288.8
2009-01-01,151.507,2009.0,1.0,53221.0,193.3,7.8,777.0,0.15,12361.5
2009-02-01,150.015,2009.0,2.0,53153.0,191.2,8.3,819.0,0.22,12241.9
2009-03-01,148.66,2009.0,3.0,53085.0,190.2,8.7,839.0,0.18,12242.7
2009-04-01,147.94899999999998,2009.0,4.0,53017.0,188.1,9.0,846.0,0.15,12320.0
2009-05-01,147.694,2009.0,5.0,53038.333333333336,186.9,9.4,818.0,0.18,12500.1
2009-06-01,148.09,2009.0,6.0,53059.666666666664,187.1,9.5,797.0,0.21,12273.2
2009-07-01,148.41,2009.0,7.0,53081.0,187.6,9.5,797.0,0.16,12218.7
2009-08-01,148.278,2009.0,8.0,53231.0,188.1,9.6,792.0,0.16,12194.8
2009-09-01,148.025,2009.0,9.0,53381.0,189.3,9.8,721.0,0.15,12230.6
2009-10-01,147.85,2009.0,10.0,53531.0,189.7,10.0,746.0,0.12,12193.2
2009-11-01,148.134,2009.0,11.0,53581.666666666664,189.2,9.9,844.0,0.12,12224.4
2009-12-01,147.929,2009.0,12.0,53632.333333333336,189.4,9.9,750.0,0.12,12280.2
2010-01-01,147.39600000000002,2010.0,1.0,53683.0,190.3,9.8,689.0,0.11,12285.8
2010-02-01,145.631,2010.0,2.0,53822.0,192.2,9.8,670.0,0.13,12292.0
2010-03-01,145.859,2010.0,3.0,53961.0,193.7,9.9,635.0,0.16,12340.3
